"CubeId";"zimoma"
"PublishingDate";"2023-10-02 14:30"

"Date";"D0";"Value"
"1991-06";"EG3M";
"1991-07";"SARON";
"1991-07";"1TGT";"7.5"
"1991-07";"EG3M";
"1991-08";"SARON";
"1991-08";"1TGT";"7.75"
"1991-08";"EG3M";
"1991-09";"SARON";
"1991-09";"1TGT";"8.3125"
"1991-09";"EG3M";
"1991-10";"SARON";
"1991-10";"1TGT";"6.5"
"1991-10";"EG3M";
"1991-11";"SARON";
"1991-11";"1TGT";"7.0625"
"1991-11";"EG3M";
"1991-12";"SARON";
"1991-12";"1TGT";"7.5625"
"1991-12";"EG3M";
"1992-01";"SARON";
"1992-01";"1TGT";"7.125"
"1992-01";"EG3M";"7.264"
"1992-02";"SARON";
"1992-02";"1TGT";"7.5"
"1992-02";"EG3M";"7.58"
"1992-03";"SARON";
"1992-03";"1TGT";"9"
"1992-03";"EG3M";
"1992-04";"SARON";
"1992-04";"1TGT";"8.625"
"1992-04";"EG3M";"8.651"
"1992-05";"SARON";
"1992-05";"1TGT";"9.625"
"1992-05";"EG3M";"9.052"
"1992-06";"SARON";
"1992-06";"1TGT";"8.75"
"1992-06";"EG3M";
"1992-07";"SARON";
"1992-07";"1TGT";"8.25"
"1992-07";"EG3M";"8.502"
"1992-08";"SARON";
"1992-08";"1TGT";"7.375"
"1992-08";"EG3M";"7.892"
"1992-09";"SARON";
"1992-09";"1TGT";"7"
"1992-09";"EG3M";
"1992-10";"SARON";
"1992-10";"1TGT";"6.25"
"1992-10";"EG3M";"6.061"
"1992-11";"SARON";
"1992-11";"1TGT";"6.5"
"1992-11";"EG3M";"6.4"
"1992-12";"SARON";
"1992-12";"1TGT";"6.375"
"1992-12";"EG3M";
"1993-01";"SARON";
"1993-01";"1TGT";"5.25"
"1993-01";"EG3M";"5.503"
"1993-02";"SARON";
"1993-02";"1TGT";"5.75"
"1993-02";"EG3M";"5.478"
"1993-03";"SARON";
"1993-03";"1TGT";"5.625"
"1993-03";"EG3M";"5.109"
"1993-04";"SARON";
"1993-04";"1TGT";"5.25"
"1993-04";"EG3M";"4.898"
"1993-05";"SARON";
"1993-05";"1TGT";"4.875"
"1993-05";"EG3M";"4.801"
"1993-06";"SARON";
"1993-06";"1TGT";"5.375"
"1993-06";"EG3M";"4.967"
"1993-07";"SARON";
"1993-07";"1TGT";"4.75"
"1993-07";"EG3M";"4.436"
"1993-08";"SARON";
"1993-08";"1TGT";"5"
"1993-08";"EG3M";"4.489"
"1993-09";"SARON";
"1993-09";"1TGT";"4.625"
"1993-09";"EG3M";
"1993-10";"SARON";
"1993-10";"1TGT";"4.625"
"1993-10";"EG3M";"4.291"
"1993-11";"SARON";
"1993-11";"1TGT";"4.5"
"1993-11";"EG3M";"4.238"
"1993-12";"SARON";
"1993-12";"1TGT";"4.125"
"1993-12";"EG3M";
"1994-01";"SARON";
"1994-01";"1TGT";"4.25"
"1994-01";"EG3M";"3.802"
"1994-02";"SARON";
"1994-02";"1TGT";"4.25"
"1994-02";"EG3M";"3.855"
"1994-03";"SARON";
"1994-03";"1TGT";"4.125"
"1994-03";"EG3M";"3.903"
"1994-04";"SARON";
